mean1,mean2,mean3,var1,var2,var3,sk1,sk2,sk3,w1,w2,w3,mm_mean,mm_var,mm_skew
3.90123,7.40334,12.5092,0.916169,1.87273,1.42941,0.0,0.0,0.0,0.645013,0.278677,0.076368,5.53479,7.63089,27.2275518702
3.93443,5.98282,9.65209,1.09132,2.32471,3.98404,0.0,0.0,0.0,0.534374,0.305695,0.159934,5.47507,6.06864,16.1133615745
4.10056,8.06718,nan,0.914178,1.18899,nan,0.0,0.0,0.0,0.73,0.26,nan,nan,nan,nan
3.83171,6.06358,11.3731,0.990618,2.49061,3.79822,0.0,0.0,0.0,0.572638,0.348254,0.0792372,5.20703,6.08691,22.76120591
4.24142,7.58203,10.6046,0.830412,0.990928,2.68081,0.0,0.0,0.0,0.655004,0.239518,0.105468,5.71263,5.8428,14.9065451665
3.8705,7.50429,11.3901,1.08063,0.853717,1.19844,0.0,0.0,0.0,0.678655,0.23463,0.0867458,5.37552,6.7762,18.6682374463
3.98761,7.13035,13.02,0.878902,1.20385,1.00036,0.0,0.0,0.0,0.62318,0.306791,0.0700375,5.58441,7.18155,28.0408702406
4.09118,6.96641,12.9686,0.955051,2.24675,4.59185,0.0,0.0,0.0,0.602858,0.336572,0.060634,5.59744,6.90345,29.7487785721
3.44448,4.85945,9.07999,0.776102,0.698854,3.74139,0.0,0.0,0.0,0.437728,0.333495,0.228827,5.2061,6.26141,18.8081044459
3.92553,6.3817,11.2361,1.1511,3.53532,5.76319,0.0,0.0,0.0,0.624305,0.283472,0.0923242,5.29712,7.01719,27.8738898928
3.89497,7.66762,11.8262,0.921617,2.98744,5.57455,0.0,0.0,0.0,0.684381,0.236184,0.0794011,5.41563,7.82232,31.6105120984
4.31169,8.49463,14.3814,1.39628,2.25085,0.584714,0.0,0.0,0.0,0.72171,0.245217,0.0331202,5.67113,7.3805,26.6651789411
3.77702,6.59777,11.1571,0.888957,1.352,4.35072,0.0,0.0,0.0,0.622522,0.249799,0.127566,5.42265,7.67178,29.692610917
3.27514,5.03046,9.25552,0.430346,0.529914,4.36405,0.0,0.0,0.0,0.37887,0.358396,0.262798,5.47609,7.16014,21.7892857991
3.96885,6.23399,11.4897,1.02227,1.43014,6.15991,0.0,0.0,0.0,0.581231,0.299214,0.119654,5.5469,7.57353,34.1350200496
3.87699,6.84475,10.5487,1.20355,2.5484,4.23744,0.0,0.0,0.0,0.578522,0.3163,0.10516,5.51722,6.72404,18.0924081013
3.82991,5.28339,8.85072,0.644041,1.042,2.03052,0.0,0.0,0.0,0.511411,0.238102,0.250438,5.4332,5.33092,11.4054945977
4.18672,8.67386,14.9173,1.28662,2.05848,0.246941,0.0,0.0,0.0,0.725635,0.244417,0.0300751,5.60671,7.8138,30.1087234168
3.74993,7.0907,9.98227,0.994429,1.68662,4.3916,0.0,0.0,0.0,0.618631,0.247954,0.133502,5.41065,6.81586,18.1816171626
3.94633,6.35342,12.0296,1.08784,2.94818,2.80627,0.0,0.0,0.0,0.645503,0.246232,0.108303,5.41463,8.07989,34.4927407614
3.07579,4.98362,8.77463,0.496426,0.47708,2.9175,0.0,0.0,0.0,0.334366,0.42414,0.241535,5.26158,5.6842,13.1408297913
3.71322,5.784,9.73493,0.697549,1.42754,3.20006,0.0,0.0,0.0,0.496637,0.294623,0.208802,5.5809,6.78282,18.3763666888
3.82261,6.59302,10.2549,0.789603,0.56218,2.5743,0.0,0.0,0.0,0.632839,0.241853,0.125382,5.29942,5.82231,16.8550605474
4.10386,7.76529,11.7224,1.2045,0.721827,3.23177,0.0,0.0,0.0,0.720217,0.192713,0.0871842,5.47415,7.05607,24.403560409
4.2237,5.72382,9.87911,1.01943,1.77353,3.62198,0.0,0.0,0.0,0.522161,0.340756,0.137156,5.51086,5.13113,15.1629490122
4.00809,6.75703,13.0281,0.86909,1.99996,4.69622,0.0,0.0,0.0,0.615781,0.297385,0.0868654,5.60923,8.28929,41.9480544051
4.09046,5.96286,10.0336,1.02917,2.99561,4.82149,0.0,0.0,0.0,0.512944,0.342329,0.144797,5.59227,6.31167,19.0290869481
3.91891,7.77485,11.0265,0.731368,1.81322,4.15642,0.0,0.0,0.0,0.686287,0.222728,0.0910404,5.42503,6.92732,23.4836949401
3.69783,5.8108,10.0323,0.691481,0.988133,4.10472,0.0,0.0,0.0,0.507953,0.258099,0.23397,5.72533,7.99667,24.796751145
3.39496,6.00759,11.0116,0.639364,1.23961,4.40525,0.0,0.0,0.0,0.454209,0.409376,0.136389,5.50324,7.66002,27.4511609322
4.08824,5.6729,9.84037,0.844512,2.85498,6.24491,0.0,0.0,0.0,0.443133,0.392023,0.164952,5.65873,6.50098,21.5519161075
3.42238,4.81951,8.51979,0.23439,0.396524,2.17375,0.0,0.0,0.0,0.389832,0.341753,0.268459,5.26844,5.04579,11.7472274041
3.88029,5.02941,8.93474,0.828602,0.572669,3.1086,0.0,0.0,0.0,0.385199,0.412786,0.202075,5.37624,4.65429,12.8265368249
3.68981,7.01723,12.3543,0.787023,1.84413,7.56503,0.0,0.0,0.0,0.579662,0.357385,0.0629987,5.425,7.26804,30.0547426956
3.87876,5.86755,9.51298,0.607938,0.993998,2.4612,0.0,0.0,0.0,0.55309,0.272613,0.174383,5.40377,5.3259,14.2950483049
4.20368,7.96309,10.8704,1.11784,1.06192,4.35718,0.0,0.0,0.0,0.689823,0.222882,0.0873258,5.62389,6.40294,17.8521985995
4.248,7.58415,13.967,1.00989,2.02625,3.87447,0.0,0.0,0.0,0.672452,0.295834,0.0318064,5.54447,6.01913,24.1897054144
